Generación,Mejor Individuo,Valor de la Función Objetivo
145,[14.2365618  26.69723537],376.43058266244554
146,[14.2365618  26.69723537],376.43058266244554
147,[14.2365618  26.69723537],376.43058266244554
148,[14.2365618  26.69723537],376.43058266244554
149,[14.2365618  26.69723537],376.43058266244554
150,[14.2365618  26.69723537],376.43058266244554
151,[14.2365618  26.69723537],376.43058266244554
152,[14.2365618  26.69723537],376.43058266244554
153,[14.2365618  26.69723537],376.43058266244554
154,[14.2365618  26.69723537],376.43058266244554
155,[14.2365618  26.69723537],376.43058266244554
156,[14.2365618  26.69723537],376.43058266244554
157,[14.2365618  26.69723537],376.43058266244554
158,[14.2365618  26.69723537],376.43058266244554
159,[14.2365618  26.69723537],376.43058266244554
160,[14.2365618  26.69723537],376.43058266244554
161,[14.2365618  26.69723537],376.43058266244554
162,[14.2365618  26.69723537],376.43058266244554
163,[14.2365618  26.69723537],376.43058266244554
164,[14.2365618  26.69723537],376.43058266244554
165,[14.2365618  26.69723537],376.43058266244554
166,[14.2365618  26.69723537],376.43058266244554
167,[14.2365618  26.69723537],376.43058266244554
168,[14.2365618  26.69723537],376.43058266244554
169,[14.2365618  26.69723537],376.43058266244554
170,[14.2365618  26.69723537],376.43058266244554
171,[14.2365618  26.69723537],376.43058266244554
172,[14.2365618  26.69723537],376.43058266244554
173,[14.2365618  26.69723537],376.43058266244554
174,[14.2365618  26.69723537],376.43058266244554
175,[14.2365618  26.69723537],376.43058266244554
176,[14.2365618  26.69723537],376.43058266244554
177,[14.2365618  26.69723537],376.43058266244554
178,[14.2365618  26.69723537],376.43058266244554
179,[14.2365618  26.69723537],376.43058266244554
180,[14.2365618  26.69723537],376.43058266244554
181,[14.2365618  26.69723537],376.43058266244554
182,[14.2365618  26.69723537],376.43058266244554
183,[14.2365618  26.69723537],376.43058266244554
184,[14.2365618  26.69723537],376.43058266244554
185,[14.2365618  26.69723537],376.43058266244554
186,[14.2365618  26.69723537],376.43058266244554
187,[14.2365618  26.69723537],376.43058266244554
188,[14.2365618  26.69723537],376.43058266244554
189,[14.2365618  26.69723537],376.43058266244554
190,[14.2365618  26.69723537],376.43058266244554
191,[14.2365618  26.69723537],376.43058266244554
192,[14.2365618  26.69723537],376.43058266244554
193,[14.2365618  26.69723537],376.43058266244554
194,[14.2365618  26.69723537],376.43058266244554
195,[14.2365618  26.69723537],376.43058266244554
196,[14.2365618  26.69723537],376.43058266244554
197,[14.2365618  26.69723537],376.43058266244554
198,[14.2365618  26.69723537],376.43058266244554
199,[14.2365618  26.69723537],376.43058266244554
200,[14.2365618  26.69723537],376.43058266244554
201,[14.2365618  26.69723537],376.43058266244554
202,[14.2365618  26.69723537],376.43058266244554
203,[14.2365618  26.69723537],376.43058266244554
204,[14.2365618  26.69723537],376.43058266244554
205,[14.2365618  26.69723537],376.43058266244554
206,[14.2365618  26.69723537],376.43058266244554
207,[14.2365618  26.69723537],376.43058266244554
208,[14.2365618  26.69723537],376.43058266244554
209,[14.2365618  26.69723537],376.43058266244554
210,[14.2365618  26.69723537],376.43058266244554
211,[14.2365618  26.69723537],376.43058266244554
212,[14.2365618  26.69723537],376.43058266244554
213,[14.2365618  26.69723537],376.43058266244554
214,[14.2365618  26.69723537],376.43058266244554
215,[14.2365618  26.69723537],376.43058266244554
216,[14.2365618  26.69723537],376.43058266244554
217,[14.2365618  26.69723537],376.43058266244554
218,[14.2365618  26.69723537],376.43058266244554
219,[14.2365618  26.69723537],376.43058266244554
220,[14.2365618  26.69723537],376.43058266244554
221,[14.2365618  26.69723537],376.43058266244554
222,[14.2365618  26.69723537],376.43058266244554
223,[14.2365618  26.69723537],376.43058266244554
224,[14.2365618  26.69723537],376.43058266244554
225,[14.2365618  26.69723537],376.43058266244554
226,[14.2365618  26.69723537],376.43058266244554
227,[14.2365618  26.69723537],376.43058266244554
228,[14.2365618  26.69723537],376.43058266244554
229,[14.2365618  26.69723537],376.43058266244554
230,[14.2365618  26.69723537],376.43058266244554
231,[14.2365618  26.69723537],376.43058266244554
232,[14.2365618  26.69723537],376.43058266244554
233,[14.2365618  26.69723537],376.43058266244554
234,[14.2365618  26.69723537],376.43058266244554
235,[14.2365618  26.69723537],376.43058266244554
236,[14.2365618  26.69723537],376.43058266244554
237,[14.2365618  26.69723537],376.43058266244554
238,[14.2365618  26.69723537],376.43058266244554
239,[14.2365618  26.69723537],376.43058266244554
240,[14.2365618  26.69723537],376.43058266244554
241,[14.2365618  26.69723537],376.43058266244554
242,[14.2365618  26.69723537],376.43058266244554
243,[14.2365618  26.69723537],376.43058266244554
244,[14.2365618  26.69723537],376.43058266244554
245,[14.2365618  26.69723537],376.43058266244554
246,[14.2365618  26.69723537],376.43058266244554
247,[14.2365618  26.69723537],376.43058266244554
248,[14.2365618  26.69723537],376.43058266244554
249,[14.2365618  26.69723537],376.43058266244554
250,[14.2365618  26.69723537],376.43058266244554
251,[14.2365618  26.69723537],376.43058266244554
252,[14.2365618  26.69723537],376.43058266244554
253,[14.2365618  26.69723537],376.43058266244554
